,lower avg_gwei,upper avg_gwei,predicted_gwei
2025-12-09 14:00:00+00:00,-0.966789307319443,1.0625755331559894,0.04789311291827321
2025-12-09 15:00:00+00:00,-0.9676715936932806,1.0634578195293063,0.04789311291801283
2025-12-09 16:00:00+00:00,-0.9685531142327217,1.0643393400683896,0.04789311291783392
2025-12-09 17:00:00+00:00,-0.9694338709287315,1.0652200967641534,0.047893112917711
2025-12-09 18:00:00+00:00,-0.9703138657636126,1.0661000915988657,0.04789311291762654
2025-12-09 19:00:00+00:00,-0.9711931007110742,1.0669793265462113,0.04789311291756851
2025-12-09 20:00:00+00:00,-0.9720715777362954,1.0678578035713526,0.04789311291752864
2025-12-09 21:00:00+00:00,-0.9729492987959819,1.0687355246309844,0.04789311291750124
2025-12-09 22:00:00+00:00,-0.973826265838424,1.069612491673389,0.04789311291748242
2025-12-09 23:00:00+00:00,-0.9747024808035508,1.0704887066384898,0.047893112917469484
2025-12-10 00:00:00+00:00,-0.9755779456229808,1.071364171457902,0.047893112917460595
2025-12-10 01:00:00+00:00,-0.9764526622200755,1.0722388880549845,0.04789311291745449
2025-12-10 02:00:00+00:00,-0.9773266325099881,1.0731128583448886,0.04789311291745029
2025-12-10 03:00:00+00:00,-0.9781998583997142,1.073986084234609,0.04789311291744741
2025-12-10 04:00:00+00:00,-0.9790723417881407,1.0748585676230316,0.047893112917445434
2025-12-10 05:00:00+00:00,-0.9799440845660945,1.0757303104009825,0.047893112917444074
2025-12-10 06:00:00+00:00,-0.9808150886163898,1.076601314451276,0.04789311291744314
2025-12-10 07:00:00+00:00,-0.9816853558138767,1.0774715816487617,0.04789311291744249
2025-12-10 08:00:00+00:00,-0.9825548880254882,1.0783411138603722,0.04789311291744205
2025-12-10 09:00:00+00:00,-0.9834236871102865,1.07920991294517,0.04789311291744174
2025-12-10 10:00:00+00:00,-0.9842917549195092,1.0800779807543923,0.047893112917441534
2025-12-10 11:00:00+00:00,-0.9851590932966172,1.0809453191315,0.04789311291744139
2025-12-10 12:00:00+00:00,-0.9860257040773376,1.0818119299122202,0.04789311291744129
2025-12-10 13:00:00+00:00,-0.9868915890897113,1.0826778149245937,0.04789311291744122
2025-12-10 14:00:00+00:00,-0.9877567501541378,1.08354297598902,0.04789311291744117
2025-12-10 15:00:00+00:00,-0.9886211890834185,1.0844074149183007,0.04789311291744114
2025-12-10 16:00:00+00:00,-0.9894849076828016,1.085271133517684,0.04789311291744112
2025-12-10 17:00:00+00:00,-0.990347907750027,1.0861341335849093,0.047893112917441104
2025-12-10 18:00:00+00:00,-0.991210191075369,1.0869964169102513,0.0478931129174411
2025-12-10 19:00:00+00:00,-0.9920717594416799,1.0878579852765622,0.04789311291744109
2025-12-10 20:00:00+00:00,-0.9929326146244328,1.088718840459315,0.04789311291744108
2025-12-10 21:00:00+00:00,-0.993792758391765,1.0895789842266472,0.04789311291744108
2025-12-10 22:00:00+00:00,-0.9946521925045191,1.0904384183394014,0.04789311291744108
2025-12-10 23:00:00+00:00,-0.9955109187162865,1.0912971445511688,0.04789311291744108
2025-12-11 00:00:00+00:00,-0.9963689387734478,1.09215516460833,0.04789311291744108
2025-12-11 01:00:00+00:00,-0.997226254415216,1.0930124802500982,0.04789311291744108
2025-12-11 02:00:00+00:00,-0.9980828673736752,1.0938690932085575,0.04789311291744108
2025-12-11 03:00:00+00:00,-0.9989387793738238,1.094725005208706,0.04789311291744108
